sentence,sentiment
بہت اچھی نیشنل کمپنی,pos
زبردست بجٹ والی ایئر لائن,pos
mcdonalds کی طرف سے آج برا تجربہ,neg
آپ کے قابل احترام ریمارکس کا بہت مطلب NL ہے,neu
جاز بلقول حق کوئی فری واٹساپ یا ایف بی ڈین,neu
مجھے بہت اچھا خوش پانی کا دن پسند ہے,pos
بہت اچھی جاز نقد,pos
جسٹ فری مبس کے لیے ایکٹیو ہوتے ہوں,neu
عظیم کمپنی نیسلے کے لئے دعا,pos
ایک وزنی بائیک الاؤ کرنے پہ روٹ ہیں,neu
plz آرام کرنے کے لئے کچھ کریں ...,neu
ان سے بہت متاثر ہوا,pos
عمدہ لباس ، جیسے تمام کالے لباس نظر آتے ہیں بہت اچھے سیاہ چمڑے کے پتلون.,pos
ساچی,pos
ٹکنالوجی مجھے برا نہیں سمجھتی ڈیٹنگ ویب سائٹ,neu
ایپ ٹھیک سے کام نہیں کررہی ہے .....,neg
میری کافی سے محبت کرو,pos
فوڈ فیوژن بیک گراونڈ میوزک,pos
زونگ کا بہت بہت شکریہ,pos
غیر علاج شدہ اسٹاف,neg
ایزی پیسہ کے ساتھ کاروبار کی رجسٹریشن کیسے حاصل کی جائے؟,neu
یونلیور جھوٹ بولتا ہے اور اپنے صارفین کو اس کا گھٹلا بناتا ہے جس پر آپ اعتماد نہیں کرتے اور نہ ہی خریدتے ہیں,neg
بدترین خدمت اگر کوئی ہے,neg
کسٹمرز کے ساتھ ٹریٹ کرنے کا طریقہ انہیں سکھائیں,neg
ہوسکتا ہے کہ بیلٹ کے لئے کامل آؤٹ ایفٹ مل گیا,pos
کتنی کی ہا ٹکٹ ؟,neu
ورنہ میچ لیس کرشمہ,neu
بٹگرام بانسیر میں ناقص انٹرنیٹ سروس,neg
میرا پرس,neu
کشمیر میں تیز رفتار رفتار نہیں ہے,neg
یہاں تک کہ بہترین اداکار (ن) کی اداکارہ بھی بہترین طور پر منتخب کی جاتی ہیں,neu
زارا New ️ سے نیا,pos
میں نے 4 دوستوں کو مدعو کیا اور رجسٹرڈ کیا میں آئی فون جیتنے کے قابل ہوں؟,neu
4G وائی فائی پر انتہائی قابل رحم خدمات,pos
بوہت بکواس سپیڈ ہو گی ہے اجکل,neg
Lv آسٹریلیا بہت خراب سروس,neg
انٹرنیٹ سروس کے بہت خراب معیار کو بہتری کی ضرورت ہے,neg
یہ واقعی قابل تعریف کی ہے ..,pos
سست ترین 4 جی,neg
وقت گزرنے کی طرح بالکل چونکانے والی فوٹوگرافی,neg
اوہ میرے اچھے بیکن چیس ٹاٹ,pos
زبردست تعاون,pos
میں نے پہلے ہی آپ کو ان باکس کردیا ہے,neu
غیر ملکی ترسیلات زر کے سلسلے میں فاسل بینک کی سہولت فراہم کرنے میں مکمل طور پر ناکام,neg
آپ کی رفتار 20 سیکنڈ کے بریفنگ کے بغیر ویڈیو چلانے میں بہت سست ہے,neg
مفت ڈیوائس کیسی ملی گِ جی بی 10000 وال پی جی جی کروا لیایا کو خوردہ فروشوں کو بتائیں,neu
ہردی نے حال ہی میں مینو میں موجود ہر چیز پر قیمتوں میں اضافہ کیا ہے!,neu
یونلیور موزمبیق کے سب سے بڑے آلودگی میں سے ایک ہے,neg
آپ نے ہمارے صدر کی توہین کے بعد محض میرے ایل وی کے ذریعے! میں کسی بھی ایسی کمپنی کا لیبل نہیں پہنوں گا جو یہ بدتمیزی ہے,neg
میں نے بھی آپ کو حدیقہ کیانی کو ووٹ دیا,pos
مجھے یقین ہے کہ یہ یونلیور کے لئے بہترین حل ہے,pos
وزیرآباد میکڈونلڈز میں یہ معاہدہ دستیاب نہیں ہے,neu
سر ایک فریاد ہی وہ زونگ والون سی زونگ بہترین کمپنی ہے,pos
مجھے چیک کرنے کا طریقہ بتائیں,neu
قیمت کے بارے میں پوچھا جانا غیر مہذب ہے اور ہمیں کوئی جواب نہیں ملتا ہے,neg
مینڈھے جاؤ جو تم کر سکتے ہو,neu
آپ نے یہ پیش کش کیوں مٹا دی ہے؟,neu
واہ اتنا اچھا شکریہ زونگ جی,pos
کیا میں یہ قمیص پہن سکتا ہوں !!,neu
اس کی خواہش ہے,neu
ناقابل فراموش سمندری کھانا ، اتنا پیارا,pos
ذہن بانا لو,neu
جے 4 اور جے 6 پلس کی قیمت کم کریں,neu
وہ کچھ کھانے کے ساتھ نہیں دے رہے ہیں ...,neg
سب سے سست سروس کا فاتح!,neg
نیسلے اچھی کمپنی ہے,pos
تم میرے جذبات سے کھیل رہے ہو,neu
کوئی طریقہ btaa de..KB دستیاب hh نوکری؟,neu
کیا آپ اس پر پیش کرتے ہیں؟,neu
قطر ایئرویز نے جوانوں کے لئے ایک حیرت انگیز الہام ہے,pos
میں تو بائیں طرف وہ لباس چاہتا ہوں!,neu
صرف LV جو میں برداشت کرسکتا ہوں,neu
ہردی کے پاس اب مت کھانا,neg
ہمارے پرچم اور ترانے کو گھٹنے ٹیکنے والے این ایف ایل کھلاڑیوں کی مدد کے لئے نائکی کے تمام مصنوعات کو جلا دیں,neu
بجٹ فون؟,neu
آپ مٹھاس کی طرف کیوں جارہے ہیں؟ کیا میک ڈونلڈز میٹھی چیزوں کے لئے ہے؟,neu
نیلم لان کے تانے بانے؟,neu
پیپسی سوراخ کی دنیا میں بہترین پینا ہے پیپسی میرے لئے ایک ہے,pos
پہاڑ کی چوٹی پر آپ کو دیکھ کر اچھا لگا محفوظ رہو.,pos
بالکل عمدہ,pos
بہت سوادج کرنے کے لئے. کولڈ ڈرنک کے ساتھ اتنا سوادج,pos
براہ کرم چندی گڑھ سے دبئی تک فلائی دبئی کا آغاز کریں,neu
میں نے تقریبا 27 کلوگرام سکریپ کا ایک باکس خریدا,neu
مردوں کے لئے بھی وہ پتلون لے آئیں,neu
ڈیبٹ کارڈ کے توسط سے ایزی پیسہ اکاؤنٹ بھی,pos
امید ہے کہ جلد ہی چترال ٹیلی نار فور جی خدمات میں,neu
اچھی ورک ٹیم نیلم کے ساتھ جاری رکھیں,neu
مجھے وہ چاہیے,neu
پاکستان میں موٹو باکس پیک فون دستیاب نہیں ہے,neg
فلائی ڈوبائی نے ایک عمدہ ٹیم بنائی,pos
نشاط لینن اور سستی قیمت کے ذریعہ خوبصورت ڈیزائن,pos
1985 میں اور عملہ کو بھی فراہم کیا گیا تھا,neu
یہ جھوٹ ہے میں نے متعدد بار کوشش کی لیکن کوئی نقد رقم واپس نہیں ملی,neg
میری خواہش ہے کہ میں قطر کا سفر کروں,pos
یہ اصل میں نہیں پوپنگ بلکہ یس وی پرکشش ہے,neu
برائے مہربانی کچھ تفصیل بھیجیں پلس ڈسپنسر تفصیل,neu
مجھے مسالہ ذائقہ اور فرانسیسی پنیر پسند ہے,pos
براہ کرم ہمارے ساتھ کیا ہوتا ہے بتائیں ..,neu
99.9٪ والدین اپنے بچوں تک رسائی حاصل کرسکتے ہیں,neu
سوئس ، امریکی اور چادر,neu
اس کے چہرے کی شناخت کا نظام بھی ناقص ہے,neg
حرم خور زونگ والے 4 جی شو کرو 2 جی اسپیڈ ڈیٹی ہین,neg
ناقص ڈسپلے,neg
میں ایک ٹریول ایجنٹ ہوں ، میں صرف شاہین ایئر لائن سے محبت کرتا ہوں,pos
شاہین انشاء اللہ چمکیں گے,pos
ہمارے الوداعی میں اس کیمرہ مین آف لکس ایوارڈ کا تصور کریں,neu
اچھا پکڑا ، حمزہ,pos
میرے پاسپورٹ پر میرا کوئی ویزا نہیں ہے,neg
براہ کرم مذکورہ منصوبے میں ہونڈا سی جی 125 سیلف اسٹارٹ ورژن بھی شامل کریں,neu
ہم فی الحال اس راستے پر دستیاب نہیں ہیں,neg
مین آئیک شاپ کاپر ہوئن اور چار سال سیل دوکان کر ریہ ہوئن پار لی ویوین نہیں مجے اسٹینڈ نہیں دیا کیا کرو,neg
پیښور آور مزدلفی ایلقون مجھے ٹیلی نار نیٹ ورک بوٹ کھرب ہوابہ ہو,neg
وہ بڈ بنی کی طرح لگتا ہے,neu
کوئی بھی میری خواہش نہیں کرتا کم از کم آپ مجھے آسانی سے پیسہ کی خواہش کر سکتے ہیں,neu
بہترین سب سے بہتر.,pos
میں آپ کی خوراک سے محبت کرتا ہوں !!,pos
بری سروس نے انھوں نے ہماری فلائٹ نوٹس کو منسوخ کردیا,neg
.اس سے محبت کرتا تھا,pos
جازکاش سر اس کا سلوشن باتاا دے ؟,neu
ہم ائیر فیئر اور ٹکٹنگ کے کورس کے لئے وزٹنگ فیکلٹی کی خدمات حاصل کر رہے ہیں,pos
! خالص پانی ہماری زندگی ہے,pos
زبردست مجموعہ کچھ ٹکڑے لینے کا انتظار نہیں کرسکتا,pos
س میں پیسہ نہیں جس کے ساتھ پیسہ کا بیگ,neu
ہر وقت پسندیدہ سوادج,pos
اب ایس این جی پی ایل جیت جائے گی,pos
آپ کی خدمات کو بہت سالوں سے استعمال کررہے ہیں ، لیکن یہ آخری بار ہوگا,neg
جب مجھے اپنے اکاؤنٹ میں اپنا پیسہ واپس آتا ہے تو مجھے بتائیں,neu
میں واقعتا it اس سے محبت کرتا ہوں ، یہ میری پہلی محبت ہے,pos
ہم آج رات آپ کو دیکھیں گے,neu
سر ایزی لوڈ 50 # کیش بیک آفر یہاں نہیں ہے ؟؟؟,neu
شادی کے موسم میں کچھ باضابطہ قمیضیں اور جیکٹس,pos
یہ سلائی ہے یا تانے بانے؟,neu
اگر ہم دکانوں سے کچھ لاتے ہیں تو وہ خاص مواقع پر مجھے کچھ تحائف دیتے ہیں,neu
حبشی خدمات,neg
8.1 میں 76 میں زبردست گوئنگ,pos
کوئی کس طرح اس پہیلی کا مقابلہ کرسکتا ہے ایک خانہ غائب ہے میک ڈونلڈز کی یہ چال ٹھیک نہیں ہے,neg
اس کے بجائے انہیں مقامی طور پر بنی کاروں کو ٹیکس فری کی پیش کش کی جانی چاہئے,neu
کیا آپ مجھے بچا سکتے ہو؟ Nd XL سائز دستیاب ہے؟,neu
اگر میں آخری دو چیلنجوں کو پورا کر چکا ہوں تو کیا میں حصہ لے سکتا ہوں؟,neu
کوئی خاص سودا / پیش کش اس دن کو؟,neu
بہت خوبصورت حیرت انگیز,pos
ڈاؤن لوڈ ، اتارنا اور آرام دہ .. رنگ .. واقعی اچھا!,pos
ہمیں آپ کا انداز پسند ہے!,pos
کل میں نے رقم کی منتقلی کا لین دین کیا ہے لیکن ابھی تک کوئی روزانہ کیش بیک نہیں ملا,neg
آپ جیسے گاہکوں سے داد وصول کرنا حیرت انگیز ہے,pos
بہت واضح لگ رہا ہے,neu
عاطف اسلم دنیا کے بہترین ہیں,pos
موجودہ گراہکوں کے بارے میں کیا خیال ہے؟,neu
ہم اسکرب اور لوشن بھی تلاش کریں گے,neu
مدہ موبائل,pos
تصوراتی ، بہترین ٹیسٹر واہ,pos
ڈیلٹیکنوالوجی,neu
گلاب ریڈ وایلیٹ ہیں نیلے ہیں میں گچی کا متحمل نہیں ہوں میں نے صرف آپ کو بتایا,neu
آپ کی یہ نئی کافی ، میں واقعتا it اس کو آزمانے کے منتظر تھا کیونکہ آپ کی پرانی کافی کچھ خاص نہیں تھی,neu
اچھا جاب بل اور ٹیم ویکیٹا!,pos
اگلے دن کی فراہمی ایک جھوٹ ہے,neg
کیا میں جاز میں کسی سینئر کا رابطہ نمبر رکھ سکتا ہوں؟,neu
بہت اچھا ایچ بی ایل,pos
میرا خواب آپ کے جوتے پہننا ہے,pos
فاسل بینک کارڈ فاسٹ کیسے حاصل کریں,pos
پاکستان بیٹری اور ٹز ٹرین نیٹ ورک کو پسند کرتا ہے,neu
ملیر کینٹ کراچی پیزا ہٹ کیلئے زیرو اسٹار سروس,neg
میں اسے دھول دار گلاب یا سفید سفید رنگ میں دیکھنا چاہتا ہوں,neu
"نائکی کی متنازعہ مہمات پر پوسٹ اور ویڈیوز جیسے کالن کیپرنک کی خاصیت والی 2019 کی ""ڈریم پاگل"" مہم",neu
آپ حیرت انگیز چیزیں بناتے ہیں,pos
ایک اعلی پرستار ہونے کا استعمال کیا ہے؟,neu
جزیرے کی کہانی کیا ہے؟,neu
آسان پیسہ کسٹمر کو درپیش مسائل پر جواب نہیں دیتا ہے,neg
مجھے معلوم ہے کہ آپ نے ایک بہت بڑا نقصان برداشت کیا لیکن اس بار اچھی قسمت ہے,neg
اس پیشکش میں بقایا بیلنس کی جانچ کیسے کریں,neu
واقعی خوبصورت لیکن سستی نہیں,neg
کیا میں اسے روم اٹلی میں خرید سکتا ہوں؟,neu
بدترین آن لائن فروخت ایوارڈ نیلم کو جاتا ہے,pos
اس کے لاحقہ لگتا ہے جیسے یہ فلم سسپیریا سے متاثر ہے .,neu
لیکن میں نے جب الجیئرز میں 30 نومبر کو پنڈال میں جانے کا وقت دیکھا تو وہ بالکل مختلف تھا,neu
تو خوبصورت عمدہ ڈیزائن,pos
مجھے بہت خوشی ہے کہ ہم ستمبر کے بعد اسکول کی دکان پر انتظار کرتے ہیں,pos
باقی حصہ یہاں نہیں مل سکتا,neg
بیلنس کھودی چل رہا ہے ...,neu
وہ بالکل خوبصورت ہے,pos
میں ہمیشہ اپنے مہمانوں کی خدمت کے لئے چانونس ذائقہ کی کوشش کرتا ہوں,pos
ڈریسس ٹھیک نہیں ہے,neg
بیگرن دنیا کے بیشتر لوگوں کی قیمت 5000. ہے,neu
یہاں تک کہ 100 روپے کا ٹاپ اپ ابھی تک نہیں ملا ہے,neg
میں 16 سال کا ہوں اور میرا خواب زارا کے لئے ماڈل بننا ہے ، لیکن میں جانتا ہوں کہ خواب سچ نہیں ہوتے ہیں میں زارا سے اتنا پیار کرتا ہوں,pos
مجھے واقعی گرہوں تک جانے کی ضرورت ہے تاکہ میں ان میں سے پیاز کے کچھ کڑے بجادوں چونکہ ہمارے یہاں ایک نہیں ہے,neu
میرا زونگ سم کام نہیں کررہا ہے اور صرف ایمرجنسی کالز دکھا رہا ہے,neu
کیا وہاں کوئی ہے جسے مجھے کچھ رہنما خطوط کی ضرورت ہے؟,neu
سبھی راستے صاف ہیں لیکن تیز ترین راستہ یہ ہے کہ میں نمبر 1 کو سمجھتا ہوں,pos
زارا میں نہیں خریدتے ہیں !!. وہ ڈلیوری نہیں کرتے اور پیسہ نہیں رکھتے,neg
گندی پروسس شدہ اسکول کے برگر دوبارہ کبھی نہیں,neg
میں اپنے دوسرے نیٹ ورک کو تبدیل کرنے کے بعد سبسکرائب کرنے کی جانچ کروں گا پھر اس کے بارے میں رائے دوں گا,neu
کتنا اچھا اشارہ ہے !!! تعریف,pos
مجھے فاسل بینک سے نفرت ہے جس نے بغیر کسی کارڈ کے مجھے کارڈ جاری کیا,neg
مجھے رمضان آفر کوڈ بھیجیں,neu
مسٹر سوزوکی ، اپنے صارفین کی دیکھ بھال اور قدر کرنے کے لئے شکریہ,pos
آئی جی آئی انشورنس پرائیوٹ لمیٹڈ کیوں؟ کیا یہ LTD شریک ہے؟,neu
میں فی الحال یہ فون استعمال کر رہا ہوں اور میں ذاتی طور پر محسوس کرتا ہوں کہ فون کے بارے میں سب سے بہترین آرٹ اس کا میڈیا ٹیک پروسیسر ہے,neu
بہترین ایئر لائن پاکستا صرف شاہین ہوا,pos
اپنی پاس ریک اپنا پیزا,pos
آپ fb پر یہ اضافہ کیوں پوسٹ کرتے ہیں اس میں سے زیادہ تر اشیاء فروخت ہوجاتی ہیں,neu
مجھے اپنا اے ٹی ایم کارڈ چالو کرنے کی ضرورت ہے ، براہ کرم مجھے طریقہ کار بتائیں,neu
انتہائی تعریف کی ... خاص طور پر کاسمیٹکس ن خوشبو پر.,pos
اگرچہ وہ فروخت میں رش کی وجہ سے بہت مصروف تھے,neu
"آپ قیمت کے ساتھ ""صرف"" لکھنا بھول گئے ہیں",neu
کیا آپ اپنے تجربے کی وضاحت کرسکتے ہیں ، تاکہ ہم اس پر مزید غور کرسکیں؟,neu
انتظار کریں جس میں مجھے نقصان پہنچا ہے,neg
اپنے تمام تر خطوط کے ساتھ باؤنڈڈ,neg
مہنگا سودا,neu
جنگلات کی کٹائی کا پتہ لگانے کے لئے ریڈار تنبیہات (RADD) کے نام سے مشہور ، راڈار پر مبنی جنگلات کی نگرانی کے ایک نئے نظام کی ترقی,neu
کل خرطوم جانے والی پروازوں کی کیا حیثیت ہے؟,neu
پیزا کٹیا یہ ابھی بھی دستیاب ہے,neu
پیزا زیادہ تر رشتوں سے زیادہ ہے,neu
آپ کی فراہمی میں کتنے دن لگتے ہیں,neu
اگرچہ وہ مجھ پر سخت ہے وہ ہمیشہ مجھ سے پیار کرتا ہے,pos
براہ کرم جلاتیو میک کرسٹی کو ایک باقاعدہ شے کے طور پر رکھیں,neu
بہت مشکل کام ...! ہر دن 1000 دعوت نامے ...,neg
8 دن پورے ہوئے لیکن نقد رقم موصول نہیں ہوئی,neg
جب میں جاز ایپ سے آرڈر کرتا ہوں تو مجھے دو پریشانیوں کا سامنا کرنا پڑتا ہے,neg
یہ بیگاری اسٹائل ایوارڈ ہے,neg
تحفہ ~ تعطیلات,neu
برائے مہربانی مجھے ماد tellہ بتائیں؟,neu
اچھی گھڑی کے ساتھ وہاں پہنچنا ہمیشہ آسان ہوتا ہے,neu
بیکار پیکیجز ....,neg
ایک ہفتے سے زیادہ گزر گیا ہے اور میری شکایت پر کوئی جواب نہیں ہے,neg
مجھے لگتا ہے کہ اس کا لحاظ نہیں ہے,neu
تقریبا time کسی نے یہ بنا دیا,neu
تم بھی لیلو اسی مہینہ,neu
اوہ میرے خدا ، کیا خوب صورت جانور ہے,pos
کیا ہم ڈیٹا سم کے بغیر جاز وائی فائی میں دوسرا جاز سم استعمال کرسکتے ہیں؟,neu
آواز گندگی,neg
ہیلو! آپ کی شرکت کو دیکھ کر اچھا لگا ، ہمارے ساتھ کھیلتے رہیں,pos
کیوں یہ ہمیشہ میرے نیوز فیئڈ پر ظاہر ہوتا ہے,neu
مجھ میں صحیح 1 مجھ سے ..... مجھے مبارک ہو,pos
جب کبھی آئے تو مجھے کچھ لے آؤ,neu
یہ لڑکے پیارے ینگ اسٹنرز ہیں,pos
آپ کی ایپ کام نہیں کر رہی ہے وہ مجھے ایکٹیویشن ای میل نہیں بھیج رہے ہیں!,neu
یار ٹکٹ كے پیسیی بتاو ؟,neu
کوئی فروخت آرہی ہے ؟؟؟,neu
جاز سر آپ سہولت ٹو ایس ﺁﺭ ایف پوسٹ ﺻﺎرﻓﻴﻦ کو ہے,neu
میں نائیک کے خلاف مؤقف لینے میں دوسروں کے ساتھ شامل ہوں گے,neg
مجھے ایک ضرورت ہے,neu
فلم کا اندازہ لگائیں,neu
آپ کی تازہ ترین مہم میں بدمزاج ماڈلز کا کیا حال ہے,neu
کسی بھی بینک اکاؤنٹ میں رقم بھیجنے کے لئے کتنے چارجز؟,neu
بکواس برگور کوئی ذائقہ نہیں,neg
جاز ایک اچھا نیٹ ورک ہے,pos
بوڑھوں اور بوجھ کے طریقے تبدیل کریں,neg
یہ ایک خراب پیپسی بولل ہے,neg
اچھا واہ زبردست آفر,pos
صنعت کے اندرونی ذرائع کے مطابق اس کا اشتہار صرف میگی برانڈ پر خرچ کیا جاتا ہے جس کا تخمینہ لگ بھگ 150 کروڑ سے زیادہ ہے,neu
آپ کے لئے انتظار کر حیرت کا دورہ کریں!,neu
جناب! میری نمبر پار 20 روپی کا بیلنس تہرہ تھا مجھی آپ کے نیٹ ورک کی کوئی سمجھ نہیں اتی مین انٹرنیٹ زونگ سم پار استعمال کر رہ ہو یا,neu
180،000 کے ساتھ زندگی پر قبضہ کرنا تو گندگی ہے,neg
رنگ اور امتزاج کے ساتھ ایک دل لینے والا کھیل,pos
اچھا لگ رہا ہے...,pos
فروخت بھی مارڈن اسٹور میں ہے؟,neu
سب سے اچھی بات یہ ہے کہ ویب سائٹ کام کر رہی ہے,pos
پاکستان میں آپ کی کوئی دکان ہے؟,neu
مجھے امید ہے کہ نائکی ناف ہو گی یہ ایک کفیل کمپنی ہے اور میں اسے برداشت نہیں کرسکتا,neg
چربی کی اونچائی,neu
خضدار شہر می 4 جی ہے زونگ کا,neu
ایک تاریک اور نامعلوم شروعات کا ایک حیرت انگیز اختتام,pos
یار ڈیلی ٹرانسیکشن کرنی ہے یا کوئی ایک 5 دنوں میں ؟,neu
آرکیٹ اسلامی بینکنگ گروپ از ایف بی ایل اچھا,pos
میں جاز استعمال کنندہ ہوں لیکن میں ایزی پیسہ استعمال کرتا ہوں جاز نقد نہیں,neu
ماضی میں خرچ شدہ چائے کی پتی کو ضائع کرنا یونلیور کے لئے ایک اچھا مسئلہ تھا,neu
میرا جسم تیار ہے,neu
ہارڈی کی محبت .... بالکل تمام فاسٹ فوڈز میں میرا پسندیدہ,pos
آپ ان شیشوں کو بہتر سے اوپر پر بھریں!,neu
زونگ بہترین سم ہے,pos
پاکستان میں یا باہر پاکستان میں گزاریں,neu
سوشل میڈیا پر نائکی کا نقطہ نظر تیار ہورہا ہے,neu
روزانہ انٹرنیٹ پاکگ زونگ کا باٹا طاقت ہے شام کا کوئی پگ 12 بجے تک,neu
یہ حیرت انگیز لگتا ہے,pos
میرے موبائل پر آفر کیسے چیک کریں؟,neu
میں یہی جائزہ لینے کی توقع کرتا ہوں ، واقعتا F زبردست مجموعہ,pos
صدر کے قریب کراچی میں سیمسنگ آؤٹ لیٹ کہاں ہے؟,neu
فیو کیو بینڈ کییا بیچس,neg
ہر وقت پسندیدہ سوادج,pos
نمبر 1 سنجیدگی سے؟ میرے علاقے میں وہ وقت تھا جب زونگ 4 جی کام کرتی تھی لیکن جیسا کہ میں نے کہا تھا ‘تھا’ اور اس سے زیادہ ٹیلی نار آیا اور اب 4G 2G.too خراب کی رفتار سے 3G میں تبدیل ہوگیا,neg
بالکل بھی پرجوش نہیں,neg
ہمارے لباس کی نفاست اور آلودگی صرف سانس لینے میں ہے,neu
مجھے کسی بھی وقت میگنم کھانا پسند ہے,pos
ہم مصالحہ دار چکن برگر میں صرف 50 / - میں چاہتے ہیں,neu
براہ کرم ان باکس کے ذریعے تفصیلات شیئر کریں آپ کو یقینی طور پر جواب موصول ہوگا,neu
میں جیکٹ چاہتا ہوں جس سے میں محبت کرتا ہوں,pos
بہترین مجموعہ اور بہترین جے,pos
شکریہ چاچا,pos
نیز اپنے شہر کا نام ہمیں بھیج کر ہمارے واٹس ایپ چینل کو سبسکرائب کریں,pos
جوتوں کا معیار ایڈیڈاس سے مختلف ہے؟ یا صرف ایک قیمت؟ متاثر نہیں,neg
حلقے قیمت plz؟,neu
آلہ plz کی قیمت,neu
یہ گھنٹے کب ختم ہوں گے؟,neu
