Text,Label
تیری بیٹی وڈی والی کی پھدی میں کالے حبشی کا لوڑا  ارب کا پاکستان کو مقروض دیا تم حرامی کتوں نے صرف  سالوں میں لعنتی کتو,o
یہ غلاظت کی پیداوار ہے کسی گندی عورت نے پورے محلے شہر کو اپنے اوپر چڑھایا اور اس کو پیدا کیا، یہ پکا حرامی ہے اس دی بہن نوں کتے یان سور یان کھوتے یان گدڑے یان تے گھوڑے یان، او گورائے ھور کجھ چاہیے تے دس دینا تے ماں نوں حبشی یان,o
ہاں کتے کے پلے توں کیوں بھونک رہا ہے کیا تیری ماں کے آج یار نہیں آئے یا تیرا کیڑا کسی نے مارا نہیں ویسے حرامی کیا ماں بہن کی دلالی سے جی نہیں بھرا جو اپنے لیے حبشی تلاش کر رہا ہے,o
اوئے ابن الغدآر   کشمیر فروش سلیکٹئیڈ دلے بےغیرت بزدل بھگوڑے منگو منگتے مادرچود گشتی کے بچے دیکھ تیرا ایک گانڈو حرآمی بہن چود بلکل فری میں تیری ماں بہن اور اپنی ماں بہن سرے عام چودوآء رہا ھے دلا اسکی ماں کو قاسم نیازی کو چودنے والا حبشی لادے تاکے اسکو سکون ملے,o
جس سے نا ہوتا ہو نا وہ تین تین شادیاں نہیں کرتا ہاں البتہ اس حرامی کو کوئی پورن فلموں والا حبشی چاہیے تو وہ تو اسکو پاکستان می نہیں مل سکتا۔اور تمہارے لئے ایک خبر بی بی سعدیہ مرد اور گھوڑا کبی بوڑا نہیں ہوتا۔,o
مادر چود کیمرے سے کیا اپنی ماں کی ننگی فلم بنا رہا ہے۔ شاباش سور کے بچے۔ لگتا ہے عمران حرامی کے بعد تو نے نوازے گانڈو کے ٹٹے بھی چوسے ہیں۔ تیری ماں رنڈی کی ٹانگیں کسی حبشی نے اٹھائی ہیں,o
او کسی نامعلوم حبشی عربی کی نسل پہلے اپنی پرورش پہ نظر ڈال چور، ڈاکو حرامی اپنی اوقات میں رہ دوبارہ میرے لیڈر کو گالی نکالی تو تمہاری نسلوں کی ہسٹری کھول دوں گا پھر نہ کہنا کہ تحریک انصاف والے ذیادتی کر رہے ہیں۔,o
اوئے دَلے  اپنی گشتوڑ ماں  کے لئے کوئی نائیجیرین حبشی تلاش کر حرامی اسکی آگ بجھے اس کتی کو سکون ملے,o
بڑا کوئی حبشی نسل کا حرامی انسان ہے یہ نہال کتی کا بچہ ابھی معافی مانگ کر آیا ہے وہاں رو رہا تھا غریب آدمی ہوں معاف کر دیں تیرے جیسے کی گانڈ پر گولیاں مارنی چاہیے,o
نیازی کے  حرامی اور دو واشل جن کو حبشی پسند ہے آ رہے ہے کیا ۔,o
وہ صرف تم لوگوں پر پڑ سکتی ہے لعنت اور تربیت ترے جیسوں کی مریم نے ہی کی. پہلے اپنے باپ کا پتا کرو کون ہے صفدر قطری یا حبشی  اگر نہ پتا لگے تو بتا دینا  جہاں تیرے جیسے دوسرے حرامی ٹھیک کیے ہیں تم کو بھی کر دیں گے  کتا پٹواری,o
عابد کھوتے کا شجرہ نسب پڑھ کر مجھے یاد آیا ایک حبشی اچھو بائی کا ٹھمکا دیکھتا تھا اور ایک دو دفع اس سے غلطی سرانجام ہوئی تھی اور اس کا کہنا تھا اچھو بائی ضرور ایک اعلی قسم کا حرامی بچہ پیدا کرے گی جس کو شیر علی اپنا نام دے گا اور نتیجہ آج سب کے سامنے ۔,o
اور تیری تو تحقیقات کروانے کی بی ضرورت نہیں ہے توں تو  شکل سے سے ہی حرامی لگتا ہے اور وہ بی کسی حبشی کا یا  ویسٹ انڈیز کے کسی کالے سور کی کارستانی لگتا ہے,o
ہن انہاں دواں ملا تے حبشی سٹ دو ویاگرا کھلا کے بہن چود حرامی بدنسل   …,o
ہاں وہ حرامی ڈی جی خان میں آج کل لوگوں کی جائیدادوں پہ قبضہ کرتا پھر رہا،کوئی بات نہیں حکومت جانے کی دیر ہے حذیفے کے ساتھ ڈی جی خان والے وہ کریں گے جو ساؤتھ افریقہ کی جیلوں میں حبشی گورے قیدیوں کے ساتھ کرتے ہیں ،سمجھ تے تسی گئے او,o
"""ہمارے"" معاشرے میں منہ کالا ہونا ایک سزا ہے، ایک داغ ہے  حبشی بی لائک  ",h
"نہ صرف ننگا, بلکہ کوڑا برسانے سے پہلے جسم پر کالا انجن آئل مل کر رقص کرتا تھا باقاعدہ. مقصد حبشی داروغےجہنم کی یاد تازہ کرانا ہوتا ہوگا. ریسسٹ ایلیمنٹ بھی ہے.   …",h
کالا رنگ تھا؛  ھونٹ موٹے تھے        اور عظمت اتنی تھی کہ زمین پر چلتے تھے  اور قدموں کی آواز جنت میں سنائی دیتی تھی  حضرت بلال حبشی۔,n
ہو سکتا ہے کوئی کالا حبشی ہو جس کا ان پر سایہ ہو,h
ہاہاہاہا ویسے ڈاکٹر تیرے اوہر زیادہ وقت رہتا تھا یا خان یا وہ brixton والا کالا حبشی,h
"کیا عائشہ بلکہ سید زادى اس آیت کے مطلب سے بے خبر هے۔ ""ولا تنابزوا بالالقاب بئس الاسم الفسوق بعد الایمان"" حضرت ابوذر رضی اللہ عنہ نے حضرت بلال رضی اللہ عنہ کو انکے حبشى (کالا) هونے کا طعنہ دیا تها تو آپ صلى الله عليه وسلم نے فرمایا کہ ابوذر تم تم ایسے مرد ہو جس میں جاہلیت ہے۔",n
پھر سچ سُناٶ جو تمہارے ساتھ محلے داروں نے پکڑ کر نہ صرف گنجا کيا منہ بھی کالا کيا اور سارے شہر گگھڑ کا چکر بھی لگوايا تھا۔اِس ليے بيٹے غداروں سے نکل آٶ اور ملکی مفاد ميں ہر وقت  مت بھونکا کرو۔چند جيو کے جھوٹے لوگ طلعت بھڑوا عمار حبشی گٹر چيمہ نورانی کو بغضِ پاک فوج کی بيماری ہے۔,o
آفریکہ سے ملے گا حبشی کالا,h
دنیا میں ہر چرند پرند اپنی مخالف صنف کے لئے دل میں نرم گوشہ اور جھکاؤ رکھتا یے۔ اب یہ تو اپنے اپنے دل کی بات ہوتی ہے کہ کسی کو کالی لیلیٰ پسند آ جاتی ہے اور کسی کو رضیہ سلطان کو اپنا کالا حبشی غلام۔,n
تیرے اُوپر کالا حبشی چڑھانا   …,o
تیرے اندر جو گرمی ہے وہ کوی کالا حبشی ختم کر سکتا,o
چھوٹوں کا منہ کالا ہوتا تو آپ حبشی ہوتے,h
جانو اگر آپ کا رنگ کالا ہے تو پھر کیا ہوا ہمارے آتا حضور کے غلام حضرت سیدنا بلال حبشی کا رنگ بھی تو کالا تھا اور ہمارے آقا جی نے حوروں کی سردار  ان کے لیے پسند فرمائں  یہ محبت نہیں تو اور کیا ہے کہ منگتوں کو سلطان بنایا میرے کملی والے نے کہ جب اپنا دربار سجایا میرے کملی والے نے,n
اس دن تیری إمی کو کالا حبشی اٹھا کر لے گیا تھا گشتی کے بچے,o
حبشی نے نشانی کے طور پر ہونٹ پر کالا نشان بھی لگا دیا۔,o
محترمہ عرب پہلے کب مسلمانوں کے ساتھ تھے وہ پہلے بھی اپنے محسن اور قدرتی حلیف اور ماموں کے ساتھ تھے ہمارے حکمران تو پیسوں کے لئے ان کی تعریف کرتے تھے  حتئ کہ سوڈان کا کالا حبشی بھی اپنے آپ کو  عرب اور آپ کو کمترعجم سمجھتا ہے   …,n
رنگ کالا تھا ھونٹ موٹے تھے پر  عظمت اتنی کہ مدینے کی گلیوں میں چلتے تو قدموں کی آھٹ جنت میں سنائی دیتی تھی. ”سیدنا بلال حبشی“,n
ولن جیسے کالی لڑکیوں کو اپنا کرش مان کر ان کے ساتھ پھس جاتیں ہے اور جب ڈیٹ پر جاتے ہے تو اگے سے کالا حبشی نکل اتا ہے پھر مجھے اور درویش کو رو کر فون کر کے کہتا ہے مینو ایتھو لہہ جاؤ,o
کوئ کالا سا حبشی ڈھونڈ لو پھر ہو جاۓ گی قابو,o
آپ کو ایک عدد لمبا کالا حبشی اور اس کا  لمبا ویپن آپ کو آسانی سے کنٹرول کر لے گا آپ اتنی ٹھنڈی ہو جائیں گی کہ منہ سے پانی آئے گا,o
رنگ کالا بھی ہو تو بلال جیسا حبشی بھی وہاں کیا مقام پاتا ہے لیکن قربت میرے نبی سے ہونی چاہئے   صلیٰ اللہ علیہ وآلہ وسلم,n
کالا رنگ کوئی عیب نہیں بلکہ فخر کرنا چاہیے کعبہ کا غلاف مبارک بھی کالا ہے اور کتنا مقدس ہے اور حضرت بلال حبشی بھی کالے رنگ کے تھے لیکن انکو رتبہ کتنا بڑا ملا،,n
"""پیچھے تو آپ گئے تھے""   نیک خاتون ہیں فوراً شکریہ ادا کیا  آگے ایک شاہ کالا حبشی بیٹھا ہونا ہے  ",o
یہ بالکل غلط ہے۔ خانہ کعبہ کا غلاف مبارک صدیوں سے کالا چلا آرہا ہے۔ مکہ کے ارگرد پہاڑ بھی کالے ہیں۔ جلیل القدر صحابی بلال حبشی رضی اللہ عنہ کا رنگ بھی کالا تھا۔ حضور نے خطبہ حج الوداع میں بھی ارشاد فرمایا کہ کسی گورے کو کسی کالے پہ اور کسی عربی کو کسی عجمی پہ فضیلت نہیں۔   …,n
حبشی خود کالا تو اسکی ”کچچھ“ فلٹر والی ہے۔واہ جی واہ   …,h
"فٹ بال کا میچ چل رہا تھا۔  اک سلیو لیس شرٹ پہلنا کالا حبشی گیند کو لیکر آگے بڑھا اور  کھلاڑیوں کو ڈاج کرتا ہوا اس نے ڈی میں جاکر شوٹ کیا اور آواز آئی "" گول گول گول گول""  حبشی خوشی سے بھاگہ اور اپنے دونوں بازو ہوا میں اٹھائے۔  ""اودھی کچھھ ورگہ منہ اے تیرا""  اخے مجھ سے جلتے ہیں۔   …",o
صرف کوئی کالا سعودی حبشی سے شادی یہ جیتے جی قبول ہو سکتی ہے آپ کی,o
اگر لڑکے نے لڑکی کے زخموں پر چھڑکنا ہو تو کالا نمک چھڑکنا چاہیے ۔۔ اور اگر لڑکی نے لڑکے کے زخموں پر چھڑکنا تو گلابی بہترین رہے گا ۔۔ یاد رہے میرے پاس حبشی کالا نمک ہے ۔۔   …,o
یہ کون ہے کالا حبشی ویسے، مرشد کی شکل ایسی بدصورت کیوں، کردار کا عکس چہرے پر عیاں ہے، ویسے ہے کون یہ,h
آپ نے پشتونوں کے سوشل پروفاییلنگ والی بات کیوں سکپ کی ؟آیی ایس پی آر کے ڈرامے سے لیکر بلبلے کے ڈرامے تک،سٹیج ڈارمے سے لیکر کتابی نصاب تک ہر جگہ تو آپ لوگ پشتونوں کو مافوق العقل پیش کرتے ہو۔ اب اگر عارف وزیر نے کالا بول ہی دیا تو کیا ہوا؟  کالا تو بلال حبشی اور اقبال شاہد بھی ہے,n
سوچ رہی ہوں شادی کر لوں لڑکا کالا بڑا حبشی ٹھیک رہے گا کیا ؟,h
کالا حبشی آپ کے لئے ٹھیک نہیں رہے گا,h
کالا بھی بڑا بھی اور حبشی برداشت کر لو گی تو ٹھیک ہے سوچو مت کر لو,o
لڑکا کالا حبشی ھی کیوں ۔۔۔۔۔۔۔۔۔۔۔۔۔۔   سمجھ تو گئے ھو نا۔۔۔۔۔,h
ہم وہ تو نہیں کہ قرآن کی آیت صاحب قرآن کی باتیں صرف اس لئے چھوڑ دیں کہ ہمارے فرقے سے نہیں اللّٰہ بچائے ایسی منافقت سے  کہ کالا حبشی بھی بتائے بات نبی کی تو غلام ہو جاتے ہیں اس کے کہ ہم کسی کے نہی بس غلام ہیں نبی کے  صلی اللہ علیہ وسلم اللّٰہ اکبر کبیرہ   …,n
درویشوں کے دَروں کے کالے کتے، بادشاہوں کے درباروں کے سفید ہاتھیوں سے لاکھ درجہ قیمتی اور عزت والے ہوتے ہیں۔ (بابا یحییٰ خان، پیا رنگ کالا) مطالعہ کے شوقین بابا یحییٰ خان کی تصانیف  لازمی پڑھیں(حبشی),n
اگر بری نظرلگانےوالوں کا منہ کالا ہوتا توآج میرے رشتے دار سو فیصد حبشی ہوتے,h
پھر گاہک دبئی والا ہوگا لوکل گاہک آئے تو صرف مرغی گوشت دبئی والا آئے تو کڑاہی گوشت کوئی کالا حبشی آجائے تو کھیر بھی پکتی ہے,o
"کالا رنگ ، ہونٹ موٹے تھے اور عظمت اتنی کہ زمین پر چلتے تھے اور قدموں کی آواز جنت میں سنائی دیتی تھی ۔  بے شک میرے رب نے بلکل درست فرمایا کہ ""ہم تمھارے رنگوں اور نسلوں کو نہیں دیکھتے بلکہ ہم تمھارے دلوں اور ایمانوں کو دیکھتے ہیں""⁦⁩ سبحان اللہ ⁦⁩ ِ_حضرت_بلال_حبشی_رض",n
گشتی کے اندر جو آگ ہے اس کو کالا حبشی پور بھی نہیں کر سکتا,o
یہ وہی غلام ہے جسے بلال کہتے ہیں ـ موٹے ہونٹ کالا رنگ کہلاتا حبشی ہے یہ وہی غلام ہے کے جب اللہ کے نبی  عرش سے واپس آئے نہ تو آپ نے آ کر پوچھا '' بلال'' ایسا کیا کرتے ہو کے جنت میں تمہارے قدموں کی آواز سن رہا تھا میں...,n
ہاں یار واقع ہی کالا سیاہ حبشی ہوگیا ہوں,h
اللہ نے اجڑے بال لولا لنگڑا اندھا بھینگا اور کالا حبشی یا نہایا دھویا نہی دیکھنا  اس نے صاف اور سفید دل اور اللہ کی اطاعت دیکھنی ہے تم جیسے کالے دل اور گندے غلیظ دماغ کی اسے رتی برابر پرواہ نہی جو قرآن کے مطابق فساد ڈال کے لوگوں کو گمراہ کرتے ہیں شیطان کی اولاد,n
کالا رنگ تھا، ہونٹ موٹے تھے اور عظمت اتنی تھی کہ زمین پر چلتے تھے تو قدموں کی آواز جنت میں سنائی دیتی تھی.   حضرت بلال حبشی رضی اللہ عنہ. سبحان اللہ,n
کالا رنگ تھا، ہونٹ موٹے تھے اور عظمت اتنی تھی کہ زمین پر چلتے تھے اور قدموں کی آواز جنت میں سنائی دیتی تھی حضرت بلال حبشی,n
وقاص گھبرایہ کی بیوی کو کس ٹائپ کا مرد پسند ہیں، ؟؟؟؟؟ ۔ کمانڈوز کی طرح تیزترین کاروائ کرنے والا ، ۔ کالا حبشی جس کے پارٹس نارمل انسان سے بڑے ہوتے ہیں، ۔ وقاص گھبرایہ جیسا سؤر کے منہ والا کُتا،,o
رنگ کالا تھا ہونٹ موٹے تھےعظمت اتنی کے مدینے کی گلیوں میں چلتے تو قدموں کی آہٹ جنت میں سنائی دیتی تھی سیدنا بلال حبشی,n
سنا ہی جناب حمزہ کو جس حبشی نے شہید کیا تھا ہنداااا ساری رات اسکے ساتھ تھی وہ کالا حبشی معاویہ کو بڑا چومتا تھا  سمجھ تہ گے ہو گے اوےےے دلےےےےےےے علامہ سیدھے ہو جاو  لو فیررررررر غوری آیا,h
یاصاحب ھذاالقبر باذن اللہ  قبر پھٹی ایک کالا حبشی قبر سے نکلا جس کے آنکھ منہ ناک آگ نکل رہی تھی اس نے کہا لا الہ الا اللہ عیسی روح اللہ وکلمتہ وعبد ورسول کہا  اسحاق نے دیکھ کرکہا یہ میری بیوی کی قبر نہیں   عیسی علیہ سلام نے اسے کہا تو واپس ہوجا وہ حبشی گر کر مرگیا اسحاق نے,n
رنگ کالا ہونٹ موٹے تھے مگر عظمت اتنی کو مدینے کی گلیوں میں چلتے تو آہٹ جنت میں سنائی دیتی حضرت بلال حبشی رضی اللہ تعالیٰ عنہ  صلیٰ اللہ علیہ وآلہ وسلم,n
آج تو یہ دیکھنے زندہ نہیں( کالا بلال غلام)  خزانہ کعبہ چھت پکار رہا ہے اسکو شائید یہ علم نہیں تھا یہ حبشی غلام بلال مسلمانوں کا امام ہے کیونکہ یہ آقائے دو جہاں حضرت محمد صلی اللّٰہ علیہ وسلم پیارا صحابی ہے  نبی کا جوغلام ہے ہمارا وہ امام ہے سبحان اللہ,n
رنگ کالا تھاھونٹ موٹے تھے⁦⁩عظمت اتنی تھیکے مدینے کی گلیوں میں چلتےتو قدموں کی آہٹ⁦⁩جنت میں سنائی دیتی تھی۔ حضرت بلال حبشیR.a,n
"رنگ کالا تھا, ہوںٹ موٹے تھے, عظمت اتنی  تھی کے مدینے کی گلیوں میں چلتے تھے  تو قدموں کی آہٹ جنت میں سنائ دی جاتی تھی  حضرت بلال حبشی رضہ اللہ تعلی عنہ",n
رنگ کالا تھا ہونٹ موٹے تھے عظمت اتنی تھی کہ مدینے کی گلیوں میں چلتے  تو قدموں کی آہٹ جنت میں سنائی دیتی تھی بلال حبشی رضی اللہ عنہ,n
قرب قیامت کی نشانی کالا حبشی ذُو السُّوَيْقَتَيْنِ (دو چھوٹی پنڈلیوں والا) کعبہ کے ایک ایک پتھر کو گرا دے گا ، اس کے غلاف کو اتار دے گا ۔ فلحال ذُو السُّوَيْقَتَيْنِ کی بہن پتلی پنڈلیوں والی کا ظہور ہو چکا ہے,n
کون ہے یہ کالا ۔۔۔۔ لندن کا کوئی حبشی لگتا ہے,h
رنگ کالا تھا ہونٹ موٹے تھے عظمت اتنی تھی کہ مدینے کی گلیوں میں چلتے  تو قدموں کی آہٹ جنت میں سنائی دیتی تھی  بلال حبشی رضی اللہ عنہ,n
مجھے سٹوپڈ کہنے سے پہلے اپنی انگریزی پڑھ مادر چود،پھر مجھے سٹوپڈ لکھ انگریزی نہیں آتی تو ماں چدوانی ضروری ھے کیا؟ اردو میں لکھ کیا کرو کسی حبشی گورے کی پیداوارالزام اس بھینڑ چود ملکوٹے & چور اُچکے گیلانی پہ لگا ھے تم کیوں؟کوئلے کی دلالی میں منہ کالا کرتے ھو؟انہیں جواب دینے دو,o
کالا حبشی دے دیں.,h
رنگ کالا تھا ہونٹ موٹے تھے عظمت اتنی کہ مدینے کی گلیوں میں چلتے تو قدموں کی آہٹ جنت میں سنائی دیتی تھی۔  سیدنا بلال حبشی,n
لفظ کالا نہیں ہوتا انسان کے لیے، حبشی ہوتا ہے، اور اگر کالے پر رہنا ہے، گوروں کے مطابق آپ بھی کالے ہیں,h
کالا حبشی,h
آس پاس کوئی کالا حبشی دیکھو دل کے ساتھ ساتھ سب کچھ صاف کردے گا,o
تمجھے اپنی فکر پڑی ہے کہ کوی فیصلہ ہو تو تو بھی آزاد ہو کالا حبشی شیطان,o
صحیح تجزیہ کیا کوئی کالا حبشی ہی اسکی پیاس بجھاے گا ۔۔ خان کا ٹھلو اس کو پسند نہیں آیا ۔۔۔۔ کھوتی ۔۔ عورت کے روپ میں,o
"رنگ کالا ہونٹ موٹے تھے پر عظمت اتنی کہ مدینے کی گلیوں میں چلتے تھے تو قدموں کی آہٹ جنت میں سنائی دیتی تھی۔  ""حضرت بلال حبشیؓ""",n
کالا لن، یہی وہ لن ہے جو برمنگھم کے حبشی تمہاری امی کی چوت میں ڈالتے تھے اور ایک دفعہ ایک حبشی بھول گیا جس کے بعد تمہاری امی کا بزنس ٹھپ ہو گیا. آخر تو جما تو ساتھ لایا. کنجر آدمی تیرے پاس تو لن بھی مانگے کا، منگتی نسل کا ہے.,o
محبت کا رنگ   کالا ہے جس میں منافقت نہیں ہوتی ۔۔ ۔نہ کسی اور رنگ کو خود پہ چڑھنے دیتا ہے۔۔ ۔ہاں خود جس پہ چڑھ جائے اسے اپنے جیسا بنا دیتا ہے۔۔ ۔محبت کا رنگ ۔۔ عشق کا رنگ ۔۔۔ پیا  رنگ  کالا !! (حبشی),n
یہ چوہڑا اور مسلی تحقیر کےلئے کس حدیث سے لیا ہے أپ نے؟؟ مسلمان ہو کر بھی جہالت کے آثار باقی ہیں شاید۔ اسلام تو یہ تفریق مٹانے آیا تھا جہاں حبشی کالا غلام بھی برابر تھا۔ آپکا اسلام سوچ میں ہندو اور تہزیب میں انگریزی ہے۔ کیا اسی ہنکار کیساتھ قبر میں جانے کا ارادہ ہے؟,n
نبی کریم صلی  علیہ وآلہ وسلم نے بلال حبشی رضی  عنہ کو کعبہ کی چھت پہ آذان دینے کے حکم سے ثابت کیا کہ  غلام آزاد گورا کالا امیر غریب ذات پات کی اسلام میں کوئی جگہ نہیں۔  رسول صلی  علیہ وآلہ وسلم کی نظر میں سب برابر ہیں سوائے پرہیز گاری کے۔,n
نبی کریم صلی اللّٰہ علیہ وآلہ وسلم نےبلال حبشی رضی اللہ عنہ کو کعبہ کی چھت پہ آذان دینے کے حکم سے  ثابت کیا کہ  غلام آزاد  گورا کالا امیر غریب ذات پات  کی اسلام میں کوئی جگہ نہیں۔اللّٰہ رسول صلی اللّٰہ علیہ وآلہ وسلم کی نظر میں سب برابر ہیں سوائے پرہیز گاری,n
نبی کریم صلی اللّٰہ علیہ وآلہ وسلم نےبلال حبشی رضی اللہ عنہ کو کعبہ کی چھت پہ آذان دینے کے حکم سے  ثابت کیا کہ  غلام آزاد  گورا کالا امیر غریب ذات پات  کی اسلام میں کوئی جگہ نہیں۔اللّٰہ رسول صلی اللّٰہ علیہ وآلہ وسلم کی نظر میں سب برابر ہیں سوائے پرہیز گاری کے۔,n
کلر جو  نہ سفید ہو  نہ کالا ہو نہ حبشی ہو نہ چینی ہو نہ چاپانی ہو نہ امریکن ہو نہ انڈین ہو نہ افقانی ہو  نہ ایرانی ہو نہ عربی ہو نہ ترکی ہو نہ عراقی ہو نہ شامی ہو  باقی تیری مرضی ہے جس سے چائیے شادی کر لیے,n
رنگ کالا تھا ، ہونٹ موٹے تھے مگر عظمت اتنی کہ مدینے کی گلیوں میں چلتے تو قدموں کی آہٹ جنت میں سنائی دیتی تھی   سیدنا بلال حبشی رضی اللہ تعالٰی عنہ,n
رنگ کالا تھا ہونٹ موٹے تھےعظمت اتنی کے مدینے کی گلیوں میں چلتے تو قدموں کی آہٹ جنت میں سنائی دیتی تھی  حضرت بلال حبشیؓ,n
"رسول اللہ کا ارشاد مبارک ہے:  ""اگر تم پر کالا حبشی سردار بنا دیا جائے اور وہ اللہ کی کتاب کیمطابق تمھاری قیادت کرے تو اسکی اطاعت کرو"" انسائی  ",n
اس گانڈو کی کجھلی کوئی کالا حبشی ہی مٹا سکتا ہے   …,o
میرے نبی چاند کو دیکھو سارے صحابہ تارے ہیں ان جگ مگ تاروں میں ایک ایک چمکتا حبشی رنگ کا کالا ہے,n
مولوی طارق جمیل کا کہنا ہے کہ کالا رنگ ہونا بدصورتی کی علامت ہے۔ کیا کوئی اس قصیدہ گو انسان کو بتلائے گا کہ حضرت بلال حبشی کا کیا مقام ہے؟ کیا اسلام میں کالے گورے کی تفریق ختم نہیں کر دی گئی تھی؟ کیا ہمارے نبی نے اپنے خطاب میں ایسا نہیں کہا تھا؟,h
ایسی کئ مثالیں آپکو تاریخ سے مل جائیں گی۔مثال کے طور پر عبد اللہ بن مسعود رض کی پنڈلیوں کا ذکر ملتا ہے کہ وہ پتلی تھیں۔بلال حبشی کا رنگ کالا تھا آپکو کیسے معلوم ہوا؟ حدیث سے ہی پتا چلا نہ۔ایک آدمی کے نام کا مطلب کڑوا تھا آپ علیہ السلام نے اس سے بکری کا دودھ نہیں نکلوایا۔,n
